name,ind,movement,genre,date,detail,picture,,
Vaux-Le-Vicomte,Louis Le Vau,architecture classique,,1661,,louis-le-vau---vaux-le-vicomte,link,https://www.google.fr/search?q=Vaux-Le-Vicomte+Louis+Le+Vau
Cathedral of Brasilia,Oscar Niemeyer,Architecture Futuriste,,1970,,oscar-niemeyer---cathedral-of-brasilia,link,https://www.google.fr/search?q=Cathedral+of+Brasilia+Oscar+Niemeyer
Automne en Bavière,Wassily Kandinsky,Art abstrait,,1908,,wassily-kandinsky---automne-en-bavière,link,https://www.google.fr/search?q=Automne+en+Bavière+Wassily+Kandinsky
Rue à Murnau,Wassily Kandinsky,Art abstrait,,1908,,wassily-kandinsky---rue-à-murnau,link,https://www.google.fr/search?q=Rue+à+Murnau+Wassily+Kandinsky
Improvisation 4,Wassily Kandinsky,Art abstrait,,1909,,wassily-kandinsky---improvisation-4,link,https://www.google.fr/search?q=Improvisation+4+Wassily+Kandinsky
Composition VII,Wassily Kandinsky,Art abstrait,,1913,,wassily-kandinsky---composition-vii,link,https://www.google.fr/search?q=Composition+VII+Wassily+Kandinsky
Étude de couleurs,Wassily Kandinsky,Art abstrait,,1913,,wassily-kandinsky---étude-de-couleurs,link,https://www.google.fr/search?q=Étude+de+couleurs+Wassily+Kandinsky
Composition II,Piet Mondrian,Art abstrait,,1930,,piet-mondrian---composition-ii,link,https://www.google.fr/search?q=Composition+II+Piet+Mondrian
formes circulaires,Robert Delaunay,Art abstrait,,1930,,robert-delaunay---formes-circulaires,link,https://www.google.fr/search?q=formes+circulaires+Robert+Delaunay
Rose décisif,Wassily Kandinsky,Art abstrait,,1932,,wassily-kandinsky---rose-décisif,link,https://www.google.fr/search?q=Rose+décisif+Wassily+Kandinsky
Mediterranée,Nicolas de Staël,Art abstrait,,1952,,nicolas-de-staël---mediterranée,link,https://www.google.fr/search?q=Mediterranée+Nicolas+de+Staël
Study on Red and Yellow,Nicolas de Staël,Art abstrait,,1952,,nicolas-de-staël---study-on-red-and-yellow,link,https://www.google.fr/search?q=Study+on+Red+and+Yellow+Nicolas+de+Staël
Mediterranean Landscape,Nicolas de Staël,Art abstrait,,1952,,nicolas-de-staël---mediterranean-landscape,link,https://www.google.fr/search?q=Mediterranean+Landscape+Nicolas+de+Staël
Lavendou,Nicolas de Staël,Art abstrait,,1952,,nicolas-de-staël---lavendou,link,https://www.google.fr/search?q=Lavendou+Nicolas+de+Staël
Court les rues,Jean Dubuffet,Art abstrait,,1962,,jean-dubuffet---court-les-rues,link,https://www.google.fr/search?q=Court+les+rues+Jean+Dubuffet
According to What,Jasper Johns,Art abstrait,,1964,,jasper-johns---according-to-what,link,https://www.google.fr/search?q=According+to+What+Jasper+Johns
Painting,Pierre Soulages,Art abstrait,,1979,,pierre-soulages---painting,link,https://www.google.fr/search?q=Painting+Pierre+Soulages
Site with Three Characters,Jean Dubuffet,Art abstrait,,1982,,jean-dubuffet---site-with-three-characters,link,https://www.google.fr/search?q=Site+with+Three+Characters+Jean+Dubuffet
New Kidd,Elizabeth Murray,Art abstrait,,2004,,elizabeth-murray---new-kidd,link,https://www.google.fr/search?q=New+Kidd+Elizabeth+Murray
tarde de carnaval,Henri Rousseau,Art naïf,,1886,,henri-rousseau---tarde-de-carnaval,link,https://www.google.fr/search?q=tarde+de+carnaval+Henri+Rousseau
Abstract Art in Five Tones and Complementaries,Joaquín Torres-García,Constructivisme,Art Abstrait,1943,,,link,https://www.google.fr/search?q=Abstract+Art+in+Five+Tones+and+Complementaries+Joaquín+Torres-García
Les Demoiselles d'Avignon,Pablo Picasso,Cubisme,,1907,,pablo-picasso---les-demoiselles-d'avignon,link,https://www.google.fr/search?q=Les+Demoiselles+d'Avignon+Pablo+Picasso
Man with a Guitar,Georges Braque,Cubisme,,1911,,georges-braque---man-with-a-guitar,link,https://www.google.fr/search?q=Man+with+a+Guitar+Georges+Braque
Mona Lisa,Salvador Dali,Dada,,1954,,salvador-dali---mona-lisa,link,https://www.google.fr/search?q=Mona+Lisa+Salvador+Dali
